#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-12T04:05:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VOTx36781 
#INFO MaxTuples=50000 
#INFO queryParameters=9 
#-oc.form=D.
#-source=I/311/hip2
#-c=Canopus,rd=40,eq=J2000
#-out=RArad
#-out=DErad
#-out=pmRA
#-out=pmDE
#-out=Hpmag
#-out=B-V
#
#INFO -c=095.987958-52.695661,rd=40. 
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys J2000_1991.250: eq_FK5 J2000    
#Table I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#---Details of Columns:
    RArad (deg)   (F12.8) Right Ascension in ICRS, Ep=1991.25 [ucd=pos.eq.ra;meta.main]
    DErad (deg)   (F12.8) Declination in ICRS, Ep=1991.25 [ucd=pos.eq.dec;meta.main]
    pmRA (mas/yr) (F8.2)  Proper motion in Right Ascension [ucd=pos.pm;pos.eq.ra]
    pmDE (mas/yr) (F8.2)  Proper motion in Declination [ucd=pos.pm;pos.eq.dec]
    Hpmag (mag)   (F7.4)  Hipparcos magnitude [ucd=phot.mag;em.opt.V]
015.09180270 -75.31743578     1.58    -2.19  9.4404  1.065
015.25700006 -70.19131852    27.33     6.97 10.2417  0.000
015.32081523 -72.29197947     3.27     1.91 11.3941  0.041
015.33395031 -72.28839888    17.68   -36.80 13.5056  0.000
015.38785961 -71.54945066    11.09   -40.52  7.9112  1.095
015.65330044 -77.55090577    39.72   -48.51  7.3750  1.390
015.80161592 -83.25451357    20.18     0.97  8.1251  1.070
015.93152977 -78.34511666    12.70     6.69  8.5336 -0.035
015.99504778 -73.46245031     6.03    -2.40  8.8727  1.259
016.12990509 -70.54035827    25.34     3.54  9.0064  1.592
016.20452410 -78.29775124    29.47     0.44  8.2235  0.073
016.28229651 -71.73406167   103.32    46.39  7.5408  1.086
016.28605395 -83.59037118    -5.96    17.55  7.5382  1.080
016.36284575 -70.93330096    -8.95     2.52  8.3388  1.109
016.38035626 -77.58463914     7.64    -9.90  7.9411 -0.064
016.38418114 -66.74306039    -4.93   274.84 10.2064  0.964
016.41141097 -66.05898857    15.00    -8.26  9.8541  1.258
016.51843806 -79.23608540     2.31     0.34  9.0420  1.724
016.55783935 -67.98001411     8.94   -28.00  9.8427  0.505
016.71174849 -81.64877167    80.52   -30.24  7.7439  1.341
016.76191830 -71.80750554    -8.23    -3.12 10.5225  0.840
016.79553375 -68.55953623    72.03    27.81 12.6376  1.087
016.80743262 -68.56554274    18.80    22.80  9.4739  1.364
016.82590284 -72.46767937     0.49    -0.77 10.3062  0.099
016.85460628 -76.67374495    -8.78    -6.30  8.2895  1.238
017.05595954 -64.30985208    -7.43     7.10  9.6250  0.579
017.16071691 -71.83531916     2.11    13.29  8.7152  0.799
017.23193747 -69.56638187     3.66     1.57  8.5324  1.572
017.26646891 -72.53822760     0.52    -2.18 10.9648 -0.049
017.27233790 -66.88033852     4.81     2.31  8.0773  1.399
017.31277472 -69.15474103     7.51   -39.85  9.8236  0.520
017.48587609 -64.35923280    -3.52     8.23  8.9311  0.672
017.53187918 -77.20650908    44.94     1.19  8.4707  0.404
017.59293934 -67.44634763   392.75   571.25  9.8135  1.568
017.64846765 -65.92173991    92.27    17.30  8.0763  0.470
017.69608796 -66.18786313   110.78  -125.02  8.1990  0.849
017.79328426 -82.54833797   186.77  -196.87  8.9072  0.602
017.82039508 -68.04854102    10.77     1.80  9.6816  1.556
017.84623050 -70.34711213    57.31    -8.11  9.5073  0.505
017.94269730 -80.11225598    77.15    25.09  8.3934  0.354
018.04322830 -73.90714341    98.17    31.30  7.2983  0.587
018.16169448 -87.86462703   -34.71   -26.34 10.0684  0.596
018.30426148 -75.10413105   -12.27    -6.36  9.2875  0.995
018.31053618 -63.76047288    -4.36     8.25  9.2519  1.014
018.31787597 -70.88115346    58.69    17.36  8.1454  0.907
018.33759932 -74.27722481   240.29   -37.35  8.6670  0.647
018.37707804 -73.33619742     2.72    -2.28 10.2140  0.138
018.41762367 -65.03771102   -41.36  -136.16  8.8614  0.499
018.55699542 -74.62943328     7.87     2.31  9.3618  1.428
018.62092223 -64.89601869    12.62     3.04  9.3908  1.088
018.66766831 -64.76344886   158.67  -307.73  9.1846  0.762
018.75133532 -68.81909472   417.23    75.32  7.3908  1.000
018.84341148 -62.10890906    25.68    17.80  8.0200  1.186
018.84860085 -63.14764414    19.23     6.28  8.2942  1.459
018.91654151 -78.38155614    51.31    29.74  8.9518  0.670
018.93956338 -68.87623707   412.11   127.74  4.9639  0.480
018.97149884 -73.51387790     9.42    -1.65 10.9323  0.380
018.99841237 -75.96417416    34.76    29.39  8.7087  0.294
019.12042251 -67.43109206   130.58    24.25  6.9990  0.378
019.15204546 -87.34044741     7.86    -4.52  8.0393  1.614
019.17819853 -81.54089520    11.59     0.98  8.0806  1.131
019.22700634 -65.96744815    19.20   -12.09  8.3109  1.474
019.26533875 -66.39789063    52.58    14.58  6.2573  0.052
019.34840530 -61.57902083    58.46  -127.60  8.8373  0.614
019.39579132 -65.21178005    27.24     2.95  6.9602  1.571
019.43876726 -79.49561232    51.82    29.00  9.7045  0.587
019.46161173 -67.11053223    87.13    19.79  7.4471  1.165
019.48887771 -74.15349994    12.49     2.05  8.9500  1.087
019.62755053 -67.91797689    22.67   -26.90 11.7187  0.000
019.65722920 -66.67543598    45.04     5.32  8.7215  0.348
019.73973484 -71.11571399    99.71    85.24  8.3297  0.520
019.75570144 -77.03082914   130.10    23.77  7.9913  0.556
019.83675085 -76.14903069    39.05     5.95  7.6854  0.507
019.86950751 -66.79803297    71.30    11.82  9.2957  0.685
019.92888136 -71.80282281    -5.56    17.87  8.9150  0.950
019.93874261 -68.89849095    11.69   119.80  7.1773  0.508
020.05971307 -72.74929222   -20.05     2.22  7.5343  0.332
020.09084906 -68.06966582    -1.33    -8.61  8.8070  0.452
020.13247789 -61.31746559    99.86    49.45  9.7239  0.659
020.14186905 -81.01682018   -31.70    37.37  9.4390  0.603
020.28919608 -62.98204532     8.69     1.70  9.0518  1.573
020.30972165 -66.10441804     7.38    10.68  8.9604  1.496
020.31624092 -73.03374043    28.07     6.76  8.5564  1.040
020.45364924 -66.38411568   -34.03    -5.92  7.0057  0.224
020.49438760 -69.71877874    -5.81     3.66  7.3551  0.424
020.50894990 -84.06402005  -151.33  -444.86 11.1072  0.400
020.58809838 -61.32946595    28.70    18.98  7.2969  1.651
020.61515838 -61.00315387    34.13    13.47  8.0056  1.030
020.69955949 -69.08026793   107.51    59.63  7.7315  1.105
020.71356853 -60.87389691    -0.84     4.43  8.9270  1.176
020.72591141 -69.30873385   255.73   119.34 12.4929  0.000
020.82731581 -66.17273411   324.89   106.45 10.0240  1.003
020.85673676 -76.61173187   100.16   -20.93  8.5068  0.656
020.85762545 -67.98302116   -11.35    -0.25  8.6270  0.888
020.89901605 -63.36564208    -3.88    19.80  9.6583  0.422
020.92486858 -79.21187985   -16.41   -34.27  9.3753  0.508
020.98667706 -60.62896878   -13.77     1.48  7.7290  1.598
020.99185827 -78.06792067     9.23     0.37  9.8084  0.479
021.00166442 -72.32441119    15.47     2.05  7.8517  0.144
021.05080747 -70.67536315   -10.45    10.89  8.1472  0.328
021.06342383 -61.83728051   -30.10   -46.96  9.9992  0.499
021.06775707 -62.44688489     6.72    -1.95  9.2176  1.160
021.23353024 -62.48104412   153.15   271.61 10.0613  0.791
021.24452605 -79.89366932    70.11   -24.96  9.9599  0.978
021.24899424 -63.96116051    35.89    -1.71  9.5441  0.428
021.27198214 -64.36943615    23.07   -17.15  6.0274  1.561
021.29923961 -79.89606492    25.61    -0.46  8.7287  0.997
021.33265712 -59.49868143    73.89     8.85  7.1572  0.385
021.33275063 -59.49165512    73.84    19.35  9.5248  0.532
021.35297895 -80.87039425    26.80    -0.04  8.9590  1.270
021.41198718 -65.56552691    39.90    12.20  8.8750  1.040
021.41633539 -67.41562133   -13.83    11.10  8.4982  0.918
021.43388607 -59.33461731    42.66     0.48  8.7604  0.970
021.53871988 -67.84233953   117.95   -69.13  8.5377  0.816
021.56948295 -75.34581803    62.18    22.55 10.0389  0.522
021.64473254 -65.77494910    36.22   -30.12 11.7947 -0.020
021.73595364 -62.96619549   -28.51   -11.68  9.7152  0.570
021.74047437 -74.73912513     9.78    -7.19 11.0038  1.100
021.75774207 -64.57971004    -4.07    -7.26  9.5010  1.020
021.91238134 -71.70424182    -1.67    55.27  7.4185  0.962
021.93712749 -75.04353019     9.34    11.10  7.6514  1.692
021.94583130 -70.85730515     1.43     1.39  8.7052  1.593
021.96530868 -79.04058710    20.16     7.30  8.1397  0.986
022.12130198 -70.12789151    12.45    48.93  8.7979  0.427
022.14877737 -77.29676409     5.82    17.69  9.8593  0.431
022.17390879 -68.17505274   -34.25   -26.66  7.6519  1.185
022.25276904 -61.08270718    18.43     6.55  8.7142  1.011
022.26497905 -82.03916795   -22.73    -0.60  9.8414  0.595
022.27130083 -67.48578646     4.83   -10.06  8.0207  1.570
022.41188331 -61.22207264    43.95   -11.05  8.5635  0.332
022.50045991 -60.40934918    20.66     9.81  9.2271  1.453
022.56346856 -73.17373177   -37.37   -32.15  8.3690  1.170
022.63895175 -75.23212228    34.66    20.62  9.1252  1.010
022.64829368 -65.11736612    34.41     2.86  8.1035  0.349
022.69189097 -59.65937807   111.98   -24.83  8.0382  0.601
022.73990480 -62.65277008    49.90     8.01  8.6755  1.005
022.75850311 -66.49664231   -13.69    -3.06  8.2844 -0.069
022.81247874 -65.11866703   276.66    96.11  7.3938  0.893
022.84065240 -58.71966958   366.94   -92.14  9.3181  0.780
022.87311749 -74.61138451   -25.27    15.67  8.7628  0.520
022.87825054 -69.28166170    -3.90    -2.71  9.6733  0.501
022.88993547 -59.59256409   176.36    11.95  8.0772  0.475
022.89075696 -69.99258828    54.86     4.83  8.8579  0.569
022.90258245 -64.61008746    20.13     0.30  8.6811  1.647
022.90592521 -61.24933675   -30.15     5.54  7.4819  0.397
022.95961571 -78.06926961    31.07   -33.19  7.7788  1.297
022.96760936 -76.91388793    67.12    -7.00  8.7670  0.749
023.01125655 -71.42200063   134.45    63.22  9.6583  0.739
023.02992236 -67.29909205    11.26  -362.10 10.0434  0.629
023.12882508 -62.84394285    75.98    47.63  8.9459  0.880
023.27659212 -63.86841296    59.08    -6.52  8.8160  1.096
023.30383693 -79.92661076    31.94    11.82  7.2565  0.122
023.37707344 -70.86778613   -45.74   -21.57  7.9216  0.389
023.39401047 -73.70750835   252.74    34.04  9.4067  0.788
023.41359163 -78.50448596   -31.72  -137.68  6.2724  0.970
023.41575902 -70.13522225    41.15     7.62  9.4590  1.096
023.49913090 -58.33432090   -53.98   -26.63  8.4357  1.169
023.49937598 -62.47621288   -24.73    -1.75  6.9797  0.314
023.50563758 -85.93587356    -0.88   -14.29  9.2399  1.419
023.51400039 -59.31246229    13.21    -8.75  8.5170  1.003
023.52499784 -67.13262293   262.62    71.96 10.3205  0.860
023.57531532 -68.93300262    66.48    45.30  9.3883  0.513
023.58443649 -64.51878569     1.71   -17.46  9.0613  1.518
023.65005314 -75.69674837    46.21    27.89  8.6990  0.450
023.65047707 -74.67429023    13.40    15.41  9.1499  1.110
023.70474813 -65.29893846    -1.88   -23.39  8.1117  1.028
023.78079006 -67.13623036   -24.47     0.05  8.2898  0.329
023.81128960 -58.13939415   283.97   -32.20  6.1162  0.382
023.91976325 -65.29353415    63.05   -64.18  8.9745  0.761
023.93476912 -60.96658275    33.11     7.00  7.8890  0.173
023.93708768 -72.73945976     6.80     4.02  9.0721  1.150
024.02476936 -61.08266132   -77.83  -675.03 10.2165  0.524
024.05795122 -58.92802144     5.74    11.79  8.4059  0.361
024.06285780 -68.25149569     9.31     0.09  9.6374  0.014
024.07221552 -59.68436945   -29.46   -23.68  8.3760  0.435
024.14068528 -76.37198239    23.46     2.01  8.3177  1.515
024.18654131 -58.27096783    23.78     1.55  6.2334  1.607
024.29195219 -56.27065805     9.59    -3.12  9.4031  1.132
024.29391708 -61.93528338    49.54    49.73  8.8606  0.700
024.34757484 -82.28174470    50.56   -34.26  7.3059  0.866
024.36575014 -84.76964997    34.69    21.77  5.8263  0.939
024.40933341 -75.42955833     5.33    -1.29  8.5119  1.435
024.42813208 -57.23665985    87.00   -38.24  0.4233 -0.158
024.47330842 -60.51154231   -14.60     6.51  7.4622  0.629
024.47908317 -82.97528853   122.41   119.98  6.0069  0.620
024.52086919 -66.55643826     8.43     3.56  7.7718  1.503
024.54878107 -67.57016888    27.44    12.10  8.3221  0.921
024.60283157 -83.24769728    51.55   -28.17  7.4863  1.031
024.62675297 -73.65891624     9.78    -0.54 10.8230  0.980
024.64898889 -65.60643597    87.15   -19.64  7.2718  1.187
024.73360329 -58.58024561    18.68    24.04  8.5008  0.486
024.76854499 -79.30960217   -26.08    27.28  9.3240  0.573
024.78136766 -56.42929844    91.83   -30.92  7.1842  0.466
024.83591038 -76.02079649    45.27     1.99  8.1569  0.249
024.94626482 -64.57128611   -31.49   -16.54  8.6435  0.417
024.94684868 -56.19644225   282.16    10.56  5.9046  0.880
024.97234312 -74.98365101    39.84    40.69  8.1899  0.454
024.97630981 -68.25801988    17.50     8.64  8.3345  1.491
025.09996738 -60.99903789    61.94   -10.50  7.7116  0.420
025.09990233 -67.23219308    31.09    -0.98  8.6333  0.559
025.13266033 -69.98695766   235.76    -3.57  8.6320  0.590
025.13522388 -58.64748758    37.58    12.62  8.8389  1.158
025.24748507 -76.24292246   -10.78     4.35  7.9085  0.446
025.30916812 -67.67585762   321.44  -452.69  8.4427  0.535
025.32448158 -75.66367904    12.13    13.48  8.1177 -0.127
025.33868887 -79.14825411    59.29    21.63  6.4936  0.947
025.36972297 -61.99496260   -31.99   -30.04  8.9314  0.427
025.42527599 -73.84393648     3.26    -0.15 11.8876 -0.035
025.44980041 -60.78924089    13.68   -39.55  5.8647  1.264
025.47271780 -63.29489222    37.77     8.92  8.9889  0.315
025.48924070 -85.79551147    -6.53     6.41  8.8128  1.136
025.52670453 -55.86549014     0.76    13.44  7.9580  1.351
025.53414988 -66.01766382    -2.01     9.43  8.9884  0.956
025.54768995 -79.91284369    35.96    27.48  8.0279  0.397
025.60735385 -66.84266599    37.34   -19.02  8.0916  0.578
025.61621128 -78.24355318    24.35    25.50  8.9693  1.172
025.65412348 -58.41305660    22.56   -37.13  8.5402  0.714
025.70561799 -54.69704751    41.87    -8.97  8.0648  0.367
025.71690697 -59.12613738     1.93     8.55  9.8012  0.521
025.73096107 -64.90873572     1.85     6.02  9.1259  1.025
025.73332318 -83.36709076    -8.34   -33.18  7.3589  0.710
025.75459182 -54.85643107   -11.85   -18.01  8.8598  0.493
025.77320129 -66.67538783    59.51    27.02  9.5442  0.900
025.77329457 -69.57251853    18.91    -4.83  9.0892  1.106
025.78264072 -61.36218339    15.15     1.50  8.4296  1.075
025.79679165 -58.00966804  -147.82  -189.05  9.2692  0.874
025.86772588 -56.23447051    46.55   -25.58  8.1379  1.077
025.87927564 -57.68646304     5.05     8.80  9.6369  0.981
025.96224435 -63.20281097    49.98   -75.64  9.3588  0.633
026.08998171 -80.57421434   189.86    50.41  9.8614  0.780
026.13724258 -61.01869043    26.93    -5.47  6.7734 -0.067
026.16844488 -58.77175805    11.01     5.00  8.8383  1.015
026.21820498 -69.09047481    20.96     6.78  9.1391  0.443
026.26893838 -59.71815323   -12.92   -16.71  9.1890  0.417
026.28291013 -54.00792261   -60.97   -13.85  9.3898  0.519
026.29483090 -59.88903727     4.08    14.80  9.7550  0.466
026.29674777 -60.38810466    34.20     1.12  8.8669  0.954
026.33334250 -56.10791066   -30.73   -28.83  9.6924  0.665
026.34941037 -77.35691762    15.52     2.51  7.4518  0.501
026.47184641 -80.30067633   177.88   213.72  9.5958  1.126
026.49108822 -71.64441845    14.01    -3.32  8.9623  1.165
026.51068407 -56.95888970    47.54    14.55  9.9920  0.545
026.60930923 -67.69963279    -9.42    -2.01  8.9903  0.966
026.65643897 -74.73900875    46.12   109.74  7.5012  0.803
026.66416515 -61.39094952   -54.28   -16.29  7.7877  0.453
026.70584330 -82.67298514    23.64     0.13  8.4706  0.355
026.75425649 -66.52918941   -43.17     6.67  9.5595  0.588
026.87764441 -69.88223279    36.26     6.31  8.2589  1.083
026.88875333 -63.60857892   -19.77    -0.91  8.3725  1.608
026.91727252 -76.78018475   -19.75   -10.15  8.7510  0.430
026.94453866 -80.17616910   -71.62   -57.43  6.1335  0.338
026.96742841 -82.40608013    92.37    37.31  9.8165  0.626
027.03099704 -56.39084517    30.99   -31.40  8.4156  1.059
027.04717652 -69.72925284    17.09   -25.29  8.4967  1.141
027.07882759 -70.06957601   217.43   -50.91  9.3787  0.763
027.11688254 -64.35260954   -12.54     5.66  8.1933  0.947
027.15280643 -79.68952868     2.29    13.50  9.2924  1.312
027.16496119 -57.14421521    27.40    -2.76  8.6432  1.199
027.21142055 -77.10851617   259.01   -47.35 11.0069  0.581
027.25881335 -53.30924794    37.36    18.60  9.6469  1.087
027.26370970 -62.22890162   -14.29     9.08  9.5520  0.434
027.28327554 -53.01137567    11.89    -7.73  9.3175  0.972
027.29750243 -88.35744683    18.39     8.63  7.9660  0.051
027.30237261 -74.01029932     3.76     2.48 12.1061 -0.006
027.30540771 -63.51664191    11.22    15.51  8.5127  0.220
027.34436233 -72.41187972     6.24     2.50  7.7954 -0.079
027.39938101 -81.35902089    57.30   -24.06  7.6414  1.216
027.42265171 -68.77948542     3.79    -0.24  9.8106  0.940
027.42767361 -63.38502099    19.36   -15.87  8.6009  1.300
027.44989874 -64.38591387    -8.36   -20.88  7.5946  1.260
027.50082610 -76.09096475     3.93    10.53  8.7381  1.081
027.52591374 -54.46484765   110.82   -46.99  8.0436  1.075
027.55782946 -61.01396921    -2.02     1.10  9.9461  0.000
027.55978363 -58.93965029    -6.83    12.23  7.5331  1.117
027.57021094 -87.22843335   -26.54   -22.32  9.3423  0.550
027.60115449 -71.94899945   268.79   -30.03  9.0929  0.366
027.60083343 -73.77040365    53.34    19.60  8.6199  0.241
027.60658506 -62.95789739    22.52     3.94  7.5543  1.107
027.65360303 -62.07079332    19.68    17.63  9.1652  1.125
027.65338127 -54.00959805   212.17    39.43  9.6529  0.740
027.74690881 -54.28055335    22.64   -47.72  7.5623  1.395
027.76457300 -59.96758936    38.65   -12.56  9.9623  0.372
027.78370643 -78.52990128    -0.95    -6.86  8.8560  1.330
027.80853896 -63.28498745    63.59   117.03  9.3006  0.525
027.87277451 -74.72598127    22.00   -99.55 10.0595  0.730
027.92424129 -57.36523147    22.75    -2.43  9.3074  0.368
027.93749633 -75.99177077    10.61    41.93  8.5916  0.510
