#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-22T10:03:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VOTx36145 
#INFO MaxTuples=50000 
#INFO queryParameters=8 
#-oc.form=D.
#-source=I/311/hip2
#-c=207.91670996081834 -59.84812460577989,rd=60.0,eq=J2000
#-out=DErad
#-out=pmRA
#-out=pmDE
#-out=Hpmag
#-out=B-V
#
#INFO -c=207.916710-59.848125,rd=60. 
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys J2000_1991.250: eq_FK5 J2000    
#Table I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#---Details of Columns:
    DErad (deg)   (F12.8) Declination in ICRS, Ep=1991.25 [ucd=pos.eq.dec;meta.main]
    pmRA (mas/yr) (F8.2)  Proper motion in Right Ascension [ucd=pos.pm;pos.eq.ra]
    pmDE (mas/yr) (F8.2)  Proper motion in Declination [ucd=pos.pm;pos.eq.dec]
    Hpmag (mag)   (F7.4)  Hipparcos magnitude [ucd=phot.mag;em.opt.V]
    B-V (mag)     (F6.3)  Colour index [ucd=phot.color;em.opt.B;em.opt.V]
------------ -------- -------- ------- ------
-59.06036318    -7.01   -12.53  9.0568  1.033
-66.02972882     2.68   -27.23  8.2472  1.068
-63.58967735    16.17   -46.38  7.4603  1.571
-62.29683683    16.92    17.50  6.3956  0.164
-78.59054091    22.36   -24.35  8.9458  1.011
-65.35709712    31.60    -5.80  8.0984  0.964
-82.22399741   -21.65   -20.34  5.4530  1.049
-63.29667569   -49.57   -38.94  8.2201  0.456
-77.48041228    17.83    -5.32  9.2501  1.031
-79.00183920    14.13    -3.33  7.9853  0.476
-78.30066024     8.36   -23.30  7.1179  1.377
-70.83688356    12.09    -2.31  9.4624  0.411
-73.64945268    15.84    11.48  9.9846  0.503
-63.63430701    62.54   -10.83  8.8563  0.563
-73.22443406   121.53    18.92  6.7436  0.372
-73.50742418    51.41   -28.71  9.5227  0.551
-87.41423772    27.25     4.03  8.9812  0.585
-58.90982931   270.47    -5.56  8.4843  0.619
-80.17376517    -9.85    13.37  7.3685  0.916
-72.27547310    11.82    -6.37  8.9651  0.518
-75.47684094     0.62     5.03  7.6203  1.600
-61.60576359    29.70   -26.57  9.0936  0.415
-88.36287523    14.48     2.80  7.2376  0.054
-59.50786397   -64.42   -44.45  9.6995  0.659
-61.31269309    25.01    16.61  8.6670  0.873
-84.99402084    10.82    17.70  5.8488  1.710
-59.90519938    38.85    -6.07  8.6063  1.079
-65.94442655    -2.78   -20.48  9.0045  1.202
-68.19764829    -0.84   -11.06  9.3885  0.993
-74.68817235    83.53   -47.89  8.9026  0.743
-74.91206052    48.11    24.04  7.1267  1.341
-68.91865925    10.30     6.49  8.2676  0.214
-62.77197860     7.28    10.48  6.6978  1.697
-68.53023278    47.72    54.69  8.7091  0.695
-68.84952013    17.38   -24.32  8.7981  1.639
-69.75145181    24.53   -11.04  9.2271  1.391
-71.42612006     5.20     7.21  8.9517  1.113
-66.92406875   -56.43     4.24  8.6572  0.551
-75.91160950   -17.21    -1.94  6.6506  0.983
-67.89937827   -16.03   -13.74  8.4850  0.100
-71.25139906    52.44   -12.98  9.3319  0.537
-58.77389585    -7.02    -0.64  8.3987  1.289
-79.85104066   433.92   -56.74  6.7233  0.749
-63.16203588    15.28    -3.03  8.6478  1.618
-70.39239125     3.30    10.12  7.2549  0.250
-66.69013411    57.87    24.00  7.9038  1.167
-78.78009250    61.97   -25.10  6.8800  0.451
-61.25834162   -16.63    -7.97  8.6005  0.469
-71.91576582    27.48    -9.93 10.1513  0.349
-66.56708428    83.52    -0.99  8.4089  0.524
-65.66134071    12.12     1.24  9.4230  1.070
-59.95106551   118.13   -42.71 11.4398  1.400
-69.87844464   -21.55     6.01  8.3711  0.589
-64.37858974   162.30   -88.28 11.4283  1.310
-60.79920984    86.50   -14.36  7.7463  0.271
-66.35889355    64.77    -5.84  7.9357  0.772
-79.23233721   -11.22   -21.41  8.0564  0.621
-69.06173670   -12.99   -13.77  8.6939  0.898
-83.06136369    26.50     6.13  9.8657  0.483
-65.06328911    18.55    15.37  9.1277  1.124
-75.66328425    21.20     5.59  8.5588  0.616
-63.66678413   -64.90   -13.02  9.3236  0.889
-63.47735077    89.37   -59.46  7.5787  0.537
-60.83070846    -4.97    -2.36  8.1604  1.548
-68.56919918     5.78     1.09  8.8780  0.923
-59.13173281   -61.76   -96.80  9.5998  0.698
-77.98897694    41.60    11.98  7.8813  0.363
-67.57844600   111.10   -73.08  9.7122  0.625
-59.69074655    67.04   -84.84  8.1209  0.973
-70.66156624    14.95    -4.64  8.3526  1.311
-69.10282353    -2.33   -18.69  8.8776  0.594
-60.91218624   141.47     5.64  8.0911  0.552
-64.87762321  1707.42  1164.30  4.3442  0.576
-77.22264894   -49.42    18.58  8.0058  0.552
-61.70114443    -7.66     1.32  8.5974  1.016
-69.62491144    -3.53    -0.10  5.4960 -0.046
-87.66706238   128.91    43.96  8.8606  0.627
-71.97802221    46.56    13.25  8.4673  1.152
-81.61207536    68.97     3.87  9.6996  0.546
-65.11352601   -10.07   -27.62  8.5541  0.819
-77.42685694    12.84    -7.30  6.1045  1.397
-65.75166610    57.91    -0.03  7.4177  1.249
-66.30452361    27.20   -21.82  7.3719  0.006
-66.47672164   256.01   160.08  9.7905  0.835
-64.37143096     6.55     2.20  9.2506  1.223
-63.28513194    47.50    16.41  9.4905  0.771
-61.29744231    32.12    12.27  7.9849  1.179
-67.62657156    10.72     7.34  7.9779  1.452
-59.02231497    73.70   -45.78  9.5415  0.666
-63.67751907   -15.93   -24.50  9.2050  0.471
-61.03487580    68.80     8.85  7.3217  0.035
-73.03224387    -8.05   -45.72  8.7253  0.769
-79.31283732    21.77    -5.27  9.9069  0.422
-80.40974475   204.04   -16.08 10.9458  0.715
-82.68349992    39.08     4.44  9.5270  0.459
-60.28404450    17.13     0.88 10.1828  0.237
-65.12101556  -103.25   -53.60  7.9952  0.579
-76.00460499     4.58    -3.78  9.1521  1.520
-76.72427713    23.14    11.09  8.0982  0.475
-67.71379631    -3.63     1.99  9.2924  1.438
-62.42527334   212.30    84.51  7.7487  0.850
-70.44391840    42.47     3.88  9.4263  1.336
-62.18441243    90.91   -47.25 11.4142  1.390
-75.67920926     8.81   -83.93  8.4299  0.619
-78.25037341     5.15    -4.09  8.9496  0.708
-74.23452479     2.82   -12.79  9.7555  0.594
-62.20632575   109.09   -13.38  8.2312  0.433
-65.39891723    44.76   -32.25  8.7085  0.548
-64.83850184   -12.98    -1.59  9.4480  1.545
-61.51326654    87.76   -57.48 11.4761  1.350
-74.40420088    28.70     6.21  8.9363  1.080
-67.74515394    21.82    -3.02  7.7134  1.227
-64.00946608   -14.97    -3.80  8.0892  0.950
-77.25503494  2219.54   324.09  2.9305  0.618
-61.53850800    34.06   -12.02  9.1301  1.241
-59.78758529   -64.73   -45.07  9.5445  0.900
-69.30705511    54.37   -21.61  7.1308  1.378
-67.72140656   112.91     6.92  8.2135  0.501
-59.87794454   -15.59    -6.70  9.0583  1.001
-83.13913308    45.54    -0.79  8.1374  0.515
-71.23770150    26.60    -2.78  9.2454  0.900
-76.31520582    -0.86     0.93  9.0186  1.576
-75.78382792   -32.17   -78.59  9.6108  0.735
-70.24850041   373.78    39.69 10.4469  0.967
-73.39734467    59.51    12.03 10.5423  0.505
-59.21204365    -8.08     6.57  9.1339  0.342
-62.88858914   -22.03   -10.09  9.4961  1.068
-75.61359610    14.07     3.04  8.4434  0.912
-71.88263949    11.74    -3.99  8.6293  0.504
-60.28036316    42.02    -7.74  9.0983  1.156
-69.54224057    30.63   -11.12  9.9942  0.512
-65.91217444   -15.87    -9.51  8.2751  0.300
-64.72962433    85.60   -13.43  7.8144  0.330
-60.77468847    39.70     4.68  9.3078  0.973
-72.68208631   209.94   -83.74 11.1783  0.564
-66.16433140     7.95    -7.79  9.2524  1.104
-59.79433257     8.85     7.08  8.2996  0.972
-69.03843587   -19.32   -40.83  9.0487  0.593
-64.29356648    15.80   -20.72  9.9310  0.711
-62.95808550    83.64   -54.82  4.3328 -0.064
-62.96545002    93.97   -46.32  4.5529  0.147
-61.34667058   -17.77   -44.83  9.4817  0.456
-63.09101352   530.61  -101.72  9.7266  1.367
-60.67281247    15.23   -11.47  9.2745  1.092
-68.00764442   106.28    70.36  9.5023  0.928
-63.03137879    86.66   -50.33  5.0920  0.038
-68.16135655    32.98    41.20  8.7811  1.024
-63.90826163    16.93    16.58  9.4397  1.030
-78.66513997    20.56    -2.43  9.2596  1.376
-71.26621472    73.40   -13.42  6.1872  0.265
-66.76464976    35.91     2.82  9.9783  0.411
-61.14724806    22.85     7.44  7.7643  0.000
-67.40894197    26.07    14.64  8.5783  1.404
-63.06165804    -4.80    -5.78  9.2622 -0.154
-61.91601794    88.28   -53.16  9.6996  1.050
-68.59681196    17.16    20.88  8.6460  0.146
-63.69382807   881.89  -535.32  8.6934  0.854
-66.79869642    22.08    23.15  9.7290  0.481
-62.08142620    22.64    -3.63  9.3819  1.313
-59.81590022   -46.96   -54.23  9.7085  0.822
-86.70523264    47.11     9.03  8.9013  0.411
-71.54124315    40.17    16.11  9.7725  0.474
-73.22202737    23.20    19.14  8.0059  0.896
-74.86979214    23.47    19.27  8.5085  0.824
-59.71719483    77.54   -17.61  6.9967  0.368
-64.77921110     1.64    -6.01  9.0655  1.549
-70.26271161    -0.34    -1.35  9.2379  1.438
-61.04759487    16.41    -1.40  9.2270  0.705
-69.43238253    15.80    19.32  8.1059  0.206
-65.12442482    41.00    -8.39  6.5878  1.260
-59.44643073    18.53   -51.86  9.8528  0.894
-76.30957102    42.92    -3.66  6.8133  0.394
-64.86698443   140.69    21.83  9.8861  0.497
-79.08226889    16.91     0.85 10.1744  0.349
-85.25251489    57.35   -44.04  8.2302  1.236
-63.82022637    49.08    36.18 10.0029  0.453
-77.48616176   -16.97    -7.25  8.8440  0.473
-75.60684095     8.32    18.10  8.0507  0.188
-68.40005005    40.78    -0.18  8.7524  0.995
-81.17743472   -29.41    -9.70  9.1327  0.488
-66.04294110   122.24    53.53  7.4973  0.611
-62.48171925   -16.27   -31.43  9.5422  0.513
-73.96249614  -126.74  -109.05  7.5450  0.482
-84.08731600    16.81    32.65  8.6430  0.347
-73.13763192   -22.18     5.49  6.9096  0.114
-85.41237064   -87.18   -28.38  7.8814  0.754
-72.28257536    21.48     5.11  8.5796  0.295
-62.81520343    18.72     1.27  9.8304  1.244
-83.03290784     5.28    -6.19  8.3988  0.163
-68.73827090    -4.21    11.38  9.3418  0.489
-69.72467407     7.86    -1.62 10.0054  0.246
-67.57432520    20.23   -12.45  8.8792  1.309
-59.51356224    -5.57    -4.06  9.5908  0.261
-85.70084451   172.34   -11.69  6.9662  1.260
-71.10354732    32.39   -30.10  8.8430  1.205
-80.65618660    68.95    21.27  8.0519  0.744
-73.76182148    24.96    -5.91  8.5985  0.447
-59.45568119   883.19   443.32  6.0187  0.564
-69.09821097    -3.38    -3.25  9.1572  0.491
-68.18644359    -4.28     7.58  8.4146  0.246
-65.85744414    20.25    -3.17  9.5096  1.095
-68.45781819  -158.67   -22.74  9.4920  0.640
-66.51396003    39.37    -6.40  9.7271  0.558
-75.81282780    45.76     0.62  8.7211  0.468
-73.11292766   -61.17     2.16 10.1119  0.709
-74.17705903    -8.44   -11.24  9.1954  1.082
-64.50833911    21.12    -4.29  8.4894  0.098
-61.36479263    13.96    -2.64  8.6357  1.622
-65.46813007    53.07    40.94  5.4940  0.515
-65.60848579    40.18    -4.31  7.0689  0.192
-60.26268187   263.42   -51.42  6.1494  1.318
-70.29696298    -4.71    -0.65  9.4563  1.050
-64.81946206   -17.50    -4.67  7.8566  0.991
-60.68549369   -22.72   -11.39  9.3301  0.571
-74.26521972   104.81   -34.36  7.6867  0.509
-85.89152534    90.25    -3.14  8.4086  0.571
-71.16867661    46.28     7.71  8.2273  0.414
-62.49760585   104.00     6.57  6.1660  0.446
-78.08217280    14.17    -5.94  6.7808  1.079
-65.64771788   157.49  -742.32  6.6788  0.655
-63.96042382   -16.62    -2.68  9.1779  1.122
-63.19652637    13.34   -38.21  7.0666  1.504
-79.66394791   -13.83     2.21  8.9381  1.430
-89.16899196    62.21    -7.92  9.8006  0.720
-75.91851304    33.64     0.67  9.4950  0.478
-67.87477436   -66.44   -15.38  9.8839  0.905
-63.28472841   -33.51    43.05  9.4454  0.471
-71.22947987   -96.93    -6.72 10.0019  0.787
-62.67573958    63.26   -17.94  7.7837  0.260
-71.78242164    13.16     4.60  9.3654  1.328
-76.92172901   -38.56    -2.40  9.3361  0.455
-62.07611352    74.40    16.60  8.6151  1.035
-84.01173309    49.15  -302.78  8.6788  0.848
-62.72644433    18.52    -5.37  8.1836  1.223
-72.82548348    -4.43    -8.47  9.8660  0.468
-67.71069979    -0.99     1.92  8.7376  0.082
-82.50749502  -154.03  -154.04  9.3205  0.666
-78.26736086    -9.02  -110.74  9.2545  0.753
-59.70104242   -12.46   -18.46  9.4121  1.065
-67.53163725   112.49   -18.89  8.2146  0.501
-74.92335367   132.89   -34.29  5.2343  1.345
-61.72851821    -2.54    -2.33  9.5133  0.225
-60.36982235   -15.66    24.68  8.0268  0.317
-69.12664221    19.73   -12.42  8.2510  1.527
-59.56853626    44.02     0.84  8.9010  1.098
-65.00449379    30.36   -14.11  8.7851  0.485
-63.75275818    11.49    -0.46  9.9705  0.866
-84.93524152     9.58     9.92  8.8254  0.462
-83.74397177   139.07    30.46  8.0529  0.522
-64.06781216    88.80    11.35  8.1019  0.562
-66.20320152    86.44    39.48  9.8781  0.612
-73.47848349     0.54    -1.41 11.1706  0.117
-73.47173543     2.29     1.06 11.0148 -0.015
-71.15152649   -13.23    37.98  6.9589  0.447
-78.64368720   173.07  -133.73 10.0364  0.954
-72.38294090     2.47    -0.55 11.4935  0.069
-60.44231711    -3.03    -8.51  9.6027  1.361
-63.69767465    -1.19   -50.60  9.0621  0.602
-74.86998371    29.62   -37.17  8.8163  0.586
-68.16724908    19.72    -7.31  9.1460  1.018
-69.50359711     4.87   -70.79  6.8395  0.518
-69.50273608     8.65   -86.59  7.6213  0.676
-61.56314414     8.52     6.26  9.1436  1.363
-73.11489719     0.13    -1.33 10.9645  0.134
-66.90208470    51.70   -19.88  9.4027  0.563
-61.07700243    51.90     6.06  8.0087  0.615
-64.16361508    37.62     0.80  9.2089  0.909
-72.63336892     0.73    -2.32 10.8063  0.045
-74.65161056   243.17    20.30  7.7424  0.678
-62.92987996    23.37    46.30  9.1651  0.381
-62.87135328    74.61     0.73  5.6532  1.574
-73.86940907     1.41     3.91  8.5712  0.556
-79.17178762     8.52     0.01  9.6358  1.230
-65.86732738    19.68     3.67  8.7451  0.294
-77.85833981     9.96    -6.67  9.2769  1.221
-69.08671073    19.85     5.11  8.7198  0.410
-82.66931990     5.47    -2.93  8.5050  1.600
-65.46369118   -48.62   -54.99  9.7071  0.551
-65.45998755   -54.40   -52.94  8.0530  0.505
-74.30263450   125.65   115.09  6.8421  0.987
-69.52697872     7.37   -43.69  5.6126  1.095
-68.62787884    19.36    -5.21  8.4494  0.583
-71.47515213    14.44     1.74 12.0708  0.206
-80.70889396    -8.55   -22.24  9.8439  0.570
-65.44535021   258.19  -223.86 10.2212  0.942
-63.95878675   315.13   165.33  7.3182  0.808
-59.76389029    -3.19   -17.14  9.1132  0.500
-59.67317225    -2.97    -3.80  9.3461  1.514
-75.40658338    17.68    12.15  8.9261 -0.029
-60.57011923     5.98     4.47  8.9374  1.157
-64.07505213     8.89     3.72  8.4732  0.427
-67.49629792    22.88    13.67 10.1267  0.537
-62.24590701  1028.40   128.26  9.5953  1.299
-76.55397985   -39.19    14.16  7.5526  1.086
-63.89234079    63.99     1.70  8.8662  0.314
-63.77417554    40.09    26.84  7.9126  1.110
-66.56084401   -13.15   -10.89  7.3157  0.823
-70.45846666    18.98    11.82  8.7849  1.483
-65.77081765    23.87    11.34  8.6255  1.289
-70.86921827   -26.83   -53.65  9.1332  0.461
-68.19313478    -8.92     3.48  8.4061  1.062
-63.39561268     6.73   -18.63 11.6517  0.404
-64.76164577    -0.83    15.09  8.5826  0.426
-60.69629551    42.83    22.56  6.2737  0.096
-62.45182350    17.51    15.00  8.3746  1.579
-76.58958228   164.76   -44.42 11.0941  0.678
-73.74886558   -25.48   -11.18  9.4524  0.539
-75.81460675   -18.58   -17.35  8.1830  0.609
-75.81378872   -18.06   -16.72  8.9799  0.592
-67.25203706    12.54   -14.47  8.8661  0.864
-61.45444881     1.01   -30.45  9.5556  0.623
-70.17678916    -9.31    11.32  8.1256  0.444
-72.74328252    36.11     1.89 10.7373  0.730
-75.31743578     1.58    -2.19  9.4404  1.065
-60.26709325    -3.12     6.90  9.2561  0.161
-70.19131852    27.33     6.97 10.2417  0.000
-72.29197947     3.27     1.91 11.3941  0.041
-60.86038631    73.66    97.69  7.0478  0.650
-72.28839888    17.68   -36.80 13.5056  0.000
-71.54945066    11.09   -40.52  7.9112  1.095
-62.16231796    27.13    -2.47  8.5901  0.456
-65.65403135   -30.41   -27.82  8.8624  0.877
-77.55090577    39.72   -48.51  7.3750  1.390
-62.82356788    21.05    13.51  9.5135  0.772
-61.57150798  -181.96  -142.08 10.0759  0.859
-65.45611104     8.41     3.26  6.3135  1.634
-63.98449566    -9.81     6.09  8.8574  1.126
-59.77993092   126.56   106.64 10.4525  0.739
-83.25451357    20.18     0.97  8.1251  1.070
-60.09726010  -119.16   -93.44  6.9220  0.480
-78.34511666    12.70     6.69  8.5336 -0.035
-73.46245031     6.03    -2.40  8.8727  1.259
-70.54035827    25.34     3.54  9.0064  1.592
-64.70119651    25.11     8.92  7.7762  1.185
-78.29775124    29.47     0.44  8.2235  0.073
-71.73406167   103.32    46.39  7.5408  1.086
-83.59037118    -5.96    17.55  7.5382  1.080
-70.93330096    -8.95     2.52  8.3388  1.109
-77.58463914     7.64    -9.90  7.9411 -0.064
-66.74306039    -4.93   274.84 10.2064  0.964
-66.05898857    15.00    -8.26  9.8541  1.258
-61.35741027     0.37   -14.92  8.9518  0.400
-60.72819880    25.28   -13.86  9.1761  1.060
-62.13686884    11.49    17.44  9.2137  0.834
-79.23608540     2.31     0.34  9.0420  1.724
-67.98001411     8.94   -28.00  9.8427  0.505
-61.15367816     2.51   -25.46  8.3401  1.127
-81.64877167    80.52   -30.24  7.7439  1.341
-63.35489592    11.33    -0.20  8.7179  1.347
-71.80750554    -8.23    -3.12 10.5225  0.840
-68.55953623    72.03    27.81 12.6376  1.087
-68.56554274    18.80    22.80  9.4739  1.364
-63.39462849   170.39    60.29 11.1306  1.540
-72.46767937     0.49    -0.77 10.3062  0.099
-61.77526175    73.80   -11.55  5.5032  0.884
-76.67374495    -8.78    -6.30  8.2895  1.238
-61.87158404   120.85   -13.52  7.5474  0.246
-64.30985208    -7.43     7.10  9.6250  0.579
-71.83531916     2.11    13.29  8.7152  0.799
-60.62019260    -5.64    -9.33  9.0108  1.212
-69.56638187     3.66     1.57  8.5324  1.572
-72.53822760     0.52    -2.18 10.9648 -0.049
-66.88033852     4.81     2.31  8.0773  1.399
-69.15474103     7.51   -39.85  9.8236  0.520
-64.35923280    -3.52     8.23  8.9311  0.672
-77.20650908    44.94     1.19  8.4707  0.404
-67.44634763   392.75   571.25  9.8135  1.568
-65.92173991    92.27    17.30  8.0763  0.470
-66.18786313   110.78  -125.02  8.1990  0.849
-82.54833797   186.77  -196.87  8.9072  0.602
-68.04854102    10.77     1.80  9.6816  1.556
-70.34711213    57.31    -8.11  9.5073  0.505
-80.11225598    77.15    25.09  8.3934  0.354
-73.90714341    98.17    31.30  7.2983  0.587
-60.89013534     9.49    13.59 11.2076 -0.057
-87.86462703   -34.71   -26.34 10.0684  0.596
-75.10413105   -12.27    -6.36  9.2875  0.995
-63.76047288    -4.36     8.25  9.2519  1.014
-70.88115346    58.69    17.36  8.1454  0.907
-74.27722481   240.29   -37.35  8.6670  0.647
-60.24202654   147.48    11.46  9.5697  0.843
-73.33619742     2.72    -2.28 10.2140  0.138
-65.03771102   -41.36  -136.16  8.8614  0.499
-62.43135036    40.10     0.81 10.2183  0.406
-61.00935424   -24.04   -21.98  8.2382  0.468
-74.62943328     7.87     2.31  9.3618  1.428
-64.89601869    12.62     3.04  9.3908  1.088
-64.76344886   158.67  -307.73  9.1846  0.762
-68.81909472   417.23    75.32  7.3908  1.000
-60.11529230   -11.22    11.31  8.6433  0.300
-62.10890906    25.68    17.80  8.0200  1.186
-63.14764414    19.23     6.28  8.2942  1.459
-78.38155614    51.31    29.74  8.9518  0.670
-68.87623707   412.11   127.74  4.9639  0.480
-73.51387790     9.42    -1.65 10.9323  0.380
-75.96417416    34.76    29.39  8.7087  0.294
-67.43109206   130.58    24.25  6.9990  0.378
-87.34044741     7.86    -4.52  8.0393  1.614
-81.54089520    11.59     0.98  8.0806  1.131
-65.96744815    19.20   -12.09  8.3109  1.474
-66.39789063    52.58    14.58  6.2573  0.052
-61.57902083    58.46  -127.60  8.8373  0.614
-60.92702992     2.44    -0.13  9.5484  1.555
-65.21178005    27.24     2.95  6.9602  1.571
-79.49561232    51.82    29.00  9.7045  0.587
-67.11053223    87.13    19.79  7.4471  1.165
-74.15349994    12.49     2.05  8.9500  1.087
-67.91797689    22.67   -26.90 11.7187  0.000
-66.67543598    45.04     5.32  8.7215  0.348
-71.11571399    99.71    85.24  8.3297  0.520
-77.03082914   130.10    23.77  7.9913  0.556
-76.14903069    39.05     5.95  7.6854  0.507
-66.79803297    71.30    11.82  9.2957  0.685
-71.80282281    -5.56    17.87  8.9150  0.950
-68.89849095    11.69   119.80  7.1773  0.508
-60.07424301    56.63    -3.57  7.4195  1.461
-72.74929222   -20.05     2.22  7.5343  0.332
-68.06966582    -1.33    -8.61  8.8070  0.452
-61.31746559    99.86    49.45  9.7239  0.659
-81.01682018   -31.70    37.37  9.4390  0.603
-62.98204532     8.69     1.70  9.0518  1.573
-66.10441804     7.38    10.68  8.9604  1.496
-73.03374043    28.07     6.76  8.5564  1.040
-66.38411568   -34.03    -5.92  7.0057  0.224
-69.71877874    -5.81     3.66  7.3551  0.424
-84.06402005  -151.33  -444.86 11.1072  0.400
-61.32946595    28.70    18.98  7.2969  1.651
-61.00315387    34.13    13.47  8.0056  1.030
-69.08026793   107.51    59.63  7.7315  1.105
-60.87389691    -0.84     4.43  8.9270  1.176
-69.30873385   255.73   119.34 12.4929  0.000
-66.17273411   324.89   106.45 10.0240  1.003
-76.61173187   100.16   -20.93  8.5068  0.656
-67.98302116   -11.35    -0.25  8.6270  0.888
-63.36564208    -3.88    19.80  9.6583  0.422
-79.21187985   -16.41   -34.27  9.3753  0.508
-60.62896878   -13.77     1.48  7.7290  1.598
-78.06792067     9.23     0.37  9.8084  0.479
